time,num,w_s,w_a
1728453401.59,0,0.0,108.0
1728453401.79,0,0.0,108.0
1728453401.99,0,0.0,108.0
1728453402.19,0,0.0,108.0
1728453402.4,1,0.0,108.0
1728453402.6,1,0.0,108.0
1728453402.8,1,0.0,108.0
1728453403.0,1,0.0,108.0
1728453403.2,1,0.0,108.0
1728453403.4,2,0.0,108.0
1728453403.6,2,0.0,108.0
1728453403.81,2,0.0,108.0
1728453404.01,2,0.0,108.0
1728453404.21,2,0.0,108.0
1728453404.41,3,0.0,108.0
1728453404.61,3,0.0,108.0
1728453404.81,3,0.0,108.0
1728453405.02,3,0.0,108.0
1728453405.22,3,0.0,108.0
1728453405.42,4,0.0,108.0
1728453405.62,4,0.0,108.0
1728453405.82,4,0.0,108.0
1728453406.02,4,0.0,108.0
1728453406.23,4,0.0,108.0
1728453406.43,5,0.0,108.0
1728453406.63,5,0.0,108.0
1728453406.83,5,0.0,108.0
1728453407.03,5,0.0,108.0
1728453407.23,5,0.0,108.0
1728453407.43,6,0.0,108.0
1728453407.63,6,0.0,108.0
1728453407.83,6,0.0,108.0
1728453408.03,6,0.0,108.0
1728453408.23,6,0.0,108.0
1728453408.44,7,0.0,108.0
1728453408.64,7,0.0,108.0
1728453408.84,7,0.0,108.0
1728453409.04,7,0.0,108.0
1728453409.24,7,0.0,108.0
1728453409.45,8,0.0,108.0
1728453409.65,8,0.0,108.0
1728453409.85,8,0.0,108.0
1728453410.05,8,0.0,108.0
1728453410.25,8,0.0,108.0
1728453410.45,9,0.0,108.0
1728453410.65,9,0.0,108.0
1728453410.85,9,0.0,108.0
1728453411.05,9,0.0,108.0
1728453411.25,9,0.0,108.0
1728453411.45,10,0.0,108.0
1728453411.66,10,0.0,108.0
1728453411.86,10,0.0,108.0
1728453412.06,10,0.0,108.0
1728453412.26,10,0.0,108.0
1728453412.46,11,0.0,108.0
1728453412.66,11,0.0,108.0
1728453412.86,11,0.0,108.0
1728453413.06,11,0.0,108.0
1728453413.26,11,0.0,108.0
1728453413.47,12,0.0,108.0
1728453413.67,12,0.0,108.0
1728453413.87,12,0.0,108.0
1728453414.07,12,0.0,108.0
1728453414.27,12,0.0,108.0
1728453414.48,13,0.0,108.0
1728453414.68,13,0.0,108.0
1728453414.88,13,0.0,108.0
